THOUSAND	THOUSAND AND
I'M	I AM
T SHIRT	TSHIRT	T-SHIRT
FAVOR	FAVOUR
SUMMARIZE	SUMMARISE
CATEGORIZE	CATEGORISE
CENTRE	CENTER
FIBRE	FIBER
LITRE	LITER
THEATRE	THEATER
LABOUR	LABOR
HUMOUR	HUMOR
APOLOGIZE	APOLOGISE
ORGANIZE	ORGANISE
ANALOGUE	ANALOG
CATALOGUE	CATALOG
DIALOGUE	DIALOG
DEFENCE	DEFENSE
LICENCE	LICENSE
OFFENCE	OFFENSE
LEUKAEMIA	LEUKEMIA
MANOEUVRE	MANEUVER
OESTROGEN	ESTROGEN
RECOGNISE	RECOGNIZE
PARALYSE	PARALYZE
BREATHALYSE	BREATHALYZE
TRAVELLED	TRAVELED
TRAVELLER	TRAVELER
ACKNOWLEDGMENT	ACKNOWLEDGEMENT
COLOUR	COLOR
MAMMA	MAMA
NEIGHBOURHOOD	NEIGHBORHOOD
CANCELLED	CANCELED
DINING	DINNING
FLACK	FLAK
ARMOR	ARMOUR
GLENDA	GLINDA
PRACTISE	PRACTICE
PRACTISED	PRACTICED
BANISTER	BANNISTER
TOOMBS	TOOMS
CRESSWELL	CRESWELL
FORTH	FOURTH
COLORED	COLOURED
SCEPTICISM	SKEPTICISM
LEARNT	LEARNED
VOL	VOLUME
BANNISTER	BANISTER
TOOMBS	TOOMS
BLONDE	BLOND
LEVELLING	LEVELING
CENTRES	CENTERS
CENTRE	CENTER
P.M.	PM
PM	P M
CM	CENTIMETER
MM	MILLIMETER
KM	KILOMETER
PRACTISE	PRACTICE
METRE	METER
CENTIMETRE	CENTIMETER
MILLIMETRE	MILLIMETER
KILOMETRE	KILOMETER
METRES	METERS
CENTIMETRES	CENTIMETERS
MILLIMETRES	MILLIMETERS
GOTTA	GOT TO
GONNA	GOING TO
WANNA	WANT TO
KILOMETRES	KILOMETERS
OKAY	OK
COUNSELED	COUNSELLED
SPLENDOUR	SPLENDOR
DISCOLOUR	DISCOLOR
HONOUR	HONOR
HONOURABLE	HONORABLE
IT'S	IT IS
THAT'S	THAT IS
WHAT'S	WHAT IS
LET'S	LET US
WHO'S	WHO IS
THERE'S	THERE IS
DOCTOR	DR	DR.
TV	T V
MBA	M B A
CROWDFUNDING	CROWD FUNDING
USA	U S A
US	U S
THEY'RE	THEY ARE
YOU'RE	YOU ARE
LOL	L O L
MRS	MISSES	MISSUS
ONE HUNDRED	A HUNDRED
COMPANY'S	COMPANY HAS
JUMPSTART	JUMP START
YOU'LL	YOU WILL
RIGHTNOW	RIGHT NOW
IPO	I P O
EVERYONE	EVERY ONE
CEO	C E O
CFO	C F O
CNBC	C N B C
IPOS	I P OS
NAME'S	NAME IS
CNBC's	C N B C'S
JT	J T
SIX-YEAR-OLDS	SIX YEAR OLD'S
NPR	N P R
NPR'S	N P R'S
GRANDKIDS	GRAND KIDS
GRANDKID	GRAND KID
MEALTIMES	MEAL TIMES
ALRIGHT	ALL RIGHT
GROWNUPS	GROWN UPS
SCHOOLDAYS	SCHOOL DAYS
JUDGMENT	JUDGEMENT
SCHOOLCHILDREN	SCHOOL CHILDREN
CASEBOOK	CASE BOOK
MP	M P
UK	U K
